,last_name,first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
842,Kwan, Steven,680757,CLE,CUKC,Curveball,0.6,1,134,9.2,34,0.265,0.353,0.269,12.7,14.7,11.4,0.321,0.4,0.315,27.6
843,Polanco, Jorge,593871,MIN,FF,4-Seamer,-0.9,-1,141,28.8,34,0.161,0.419,0.279,17.4,14.7,14.3,0.238,0.669,0.403,57.7
844,Cronenworth, Jake,630105,SD,CH,Changeup,4.0,5,117,8.9,34,0.323,0.548,0.428,26.3,14.7,13.5,0.295,0.43,0.346,19.2
845,Peterson, Jace,607054,OAK,CUKC,Curveball,-1.7,-2,125,11.9,34,0.152,0.152,0.153,30.6,26.5,17.6,0.18,0.247,0.202,12.5
846,Torkelson, Spencer,679529,DET,CH,Changeup,-1.4,-2,139,10.4,34,0.097,0.226,0.184,43.9,41.2,23.0,0.178,0.314,0.251,35.3
847,McMahon, Ryan,641857,COL,CH,Changeup,6.2,7,121,8.7,34,0.323,0.548,0.451,15.8,14.7,12.8,0.33,0.476,0.378,38.5
848,Suwinski, Jack,669261,PIT,CH,Changeup,0.8,1,145,13.6,34,0.233,0.467,0.343,36.7,32.4,26.2,0.214,0.457,0.331,21.1
849,Marcano, Tucupita,672779,PIT,SIFT,Sinker,-1.5,-1,94,16.7,34,0.185,0.259,0.3,13.0,14.7,26.3,0.22,0.371,0.323,29.2
850,Perez, Salvador,521692,KC,CH,Changeup,0.4,0,114,10.6,34,0.281,0.438,0.359,29.6,17.6,15.8,0.281,0.476,0.346,57.7
851,Olivares, Edward,658668,KC,SIFT,Sinker,0.3,0,128,15.7,34,0.267,0.433,0.372,13.0,5.9,10.5,0.321,0.564,0.418,53.6
852,Pratto, Nick,668472,KC,CH,Changeup,1.2,1,117,13.2,34,0.273,0.333,0.279,41.5,35.3,28.6,0.222,0.31,0.241,33.3
853,Castro, Willi,650489,MIN,SL,Slider,0.1,0,122,16.9,34,0.233,0.367,0.326,38.5,26.5,25.7,0.249,0.44,0.33,50.0
854,Higashioka, Kyle,543309,NYY,SL,Slider,-1.1,-1,134,28.2,34,0.188,0.25,0.221,30.8,23.5,28.6,0.144,0.205,0.181,41.7
855,Schwarber, Kyle,656941,PHI,FC,Cutter,3.5,5,143,10.2,34,0.333,0.733,0.501,22.1,20.6,20.0,0.29,0.647,0.428,56.5
856,Stanton, Giancarlo,519317,NYY,FF,4-Seamer,-1.1,-1,120,23.8,34,0.172,0.31,0.286,26.2,26.5,23.1,0.214,0.493,0.356,70.0
857,Valdez, Enmanuel,665839,BOS,FF,4-Seamer,-1.7,-2,144,34.4,34,0.194,0.387,0.284,26.7,32.4,32.4,0.207,0.479,0.322,40.0
858,Heim, Jonah,641680,TEX,CUKC,Curveball,-1.3,-2,120,11.2,34,0.188,0.25,0.221,16.1,11.8,11.8,0.222,0.348,0.271,21.4
859,Marsh, Brandon,669016,PHI,SIFT,Sinker,0.9,1,150,13.5,34,0.37,0.407,0.425,16.9,11.8,9.5,0.33,0.389,0.388,62.5
860,Abreu, José,547989,HOU,CUKC,Curveball,-0.2,0,119,9.5,33,0.212,0.273,0.239,40.0,45.5,30.6,0.145,0.198,0.147,27.8
861,Ruiz, Keibert,660688,WSH,CUKC,Curveball,-1.6,-2,133,15.4,33,0.161,0.161,0.158,27.1,18.2,19.4,0.221,0.28,0.227,34.6
862,Soto, Juan,665742,SD,CUKC,Curveball,0.3,0,136,9.5,33,0.214,0.321,0.329,22.5,18.2,14.6,0.228,0.332,0.31,36.4
863,Kwan, Steven,680757,CLE,CH,Changeup,-0.3,0,117,8.1,33,0.219,0.406,0.277,15.4,9.1,6.7,0.267,0.327,0.271,13.8
